32,carlos,TX,4.45,Carpet,150,2.25,2.10,337.50,315.00,652.54,1305.04,03-06-2020
1,Ada Lovelace,CA,25.00,Tile,249.00,3.50,4.15,871.50,1033.35,476.21,2381.06,06-01-2013
2,Doctor Who,WA,9.25,Wood,243.00,5.15,4.75,1251.45,1154.25,216.51,2622.21,06-02-2013
3,Albert Einstein,KY,6.00,Carpet,217.00,2.25,2.10,488.25,455.70,56.64,1000.59,06-02-2013
4,Carlos Chavez,TX,4.45,Wood,250,5.15,4.75,1287.50,1187.50,2475.04,4950.04,03-01-2020
6,Diego,TX,4.45,Tile,555,3.50,4.15,1942.50,2303.25,4245.79,8491.54,03-01-2020
7,johnny,KY,6.00,Carpet,674,2.25,2.10,1516.50,1415.40,2932.15,5864.05,03-01-2020
9,Jeremy fin,TX,4.45,Tile,450,3.50,4.15,1575.00,1867.50,3442.54,6885.04,03-02-2020
10,Kyle,CA,25.00,Tile,300,3.50,4.15,1545.00,1425.00,2970.04,5940.04,03-03-2020
43,carlos,TX,4.45,Wood,560,5.15,4.75,2884.00,2660.00,5544.04,11088.04,03-30-2020
44,carlos,TX,4.45,Wood,4000,5.15,4.75,20600.00,19000.00,39600.04,79200.04,04-29-2020
45,me,TX,4.45,Wood,453,5.15,4.75,2332.95,2151.75,4484.74,8969.44,07-22-2020
14,Master Chief ,TX,4.45,Carpet,500,2.25,2.10,1125.00,1050.00,2175.04,4350.04,03-04-2020
26,hmmmm,TX,4.45,Tile,150,3.50,4.15,525.00,622.50,1147.54,2295.04,03-05-2020
